token
edf
rehe
mpto
lift
lare
only
acter
skin
it’
Ay
against
"es,"
resp
"is,"
could
descend
erd
"er,"
ready
"whale,"
ip
not
idea
L
stea
Cap
knowled
iness
sou
ben
qu
rchi
are
swun
instant
Tu
whale’s
ac
lli
t
sci
hear
taining
lost
word
hap
Lit
oll
umstan
"down,"
scen
res
pr
van
ft
thu
ortly
"ell,"
"back,"
It’s
nn
seiz
_F
Bes
see
striv
higher
"away,"
"air,"
ait
ten
nce
some
"esides,"
"eg,"
ern
hic
ca
hearts
hail
hive
As
manner
rough
"ble,"
circ
sa
deriv
lec
har
bed
ue
pab
way.
Tun
ect
thou
bur
ER
ccur
hund
oti
descri
inas
ill
magn
"oars,"
cou
pon
p’s
Sper
"r,”"
hile
ruis
cover
sco
furn
ann
“W
coils
ated
inser
can
heart
ked
ciated
pensa
bly
ou
ging
AN
LO
Amer
"mouth,"
ust
terms
owners
tw
ling
et
wa
inde
Oh
an
rre
erve
eeq
llion
tar
ands
there
bot
ded
don
kings
sy
half
ding
pe
eo
c
Peleg
oy
urre
fea
with
sor
ha
matter
apt
uded
asm
boat’s
"them,"
looked
anding
it
"d,"
UC
geth
"boat,"
alive
t.
conne
death
"il,"
ba
ence
abou
live
igh
bli
also
est
capture
ya
“In
Pro
ship
Y
ssi
hi
ivory
ack
surr
afr
looks
it;
"way,"
lies
o
sperm
con
wind
unch
other
nb
seek
m;
O
for
he’s
dig
inten
ec
lent
Nor
rike
h
lla
icture
voyage
p’
sting
"himself,"
sse
cle
capab
ppo
nle
inter
more
peci
clu
yo
Par
val
cken
stant
away
lan
There
son
urred
minds
haps
cross
d—
din
pared
tire
off
wis
seri
should
mp
;
"le,"
picture
ass
spen
oub
li
"out,"
TU
"),"
know
R
ached
ran
tha
orts
leaning
New
ssible
rse
nis
pick
ase
ate
blow
owar
gnit
del
"that,"
kind
fee
char
OO
dr
she
ving
Unit
concl
ough
ordance
ard
"Aye,"
"h,"
ads
ising
yag
white
dy
ons
ouc
ep
"say,"
ee
instead
hie
quan
mat
perha
me
rs
sin
nk
itse
cry
parts
r
han
oneer
sit
sage
mpa
ight
pp
enc
gaz
bus
em
distance
HA
stru
ming
night
ho
Str
"tail,"
ub
harpo
ime
cient
yon
urpo
"de,"
erm
Lo
ward
attle
buo
inds
mple
kee
onc
turned
top
They
inging
ouch
athan
"I,"
Fou
nder
stood
orc
neg
ok
lea
lb
Think
soon
’s
ice
bore
copy
below
stran
esp
arse
unk
"quod,"
“Qu
pic
ciou
oo
quod
ides
ut
min
"st,"
ford
all
twe
whales
whale
answer
—
day
py
gnity
KE
derived
ject
umstance
ps
pai
","
soci
pie
eyeing
antu
midd
entre
trun
ful
lowered
met
hundred
edfor
ailed
oug
rib
A
iou
cluded
iv
com
hand
ne
fai
an;
ma
Be
tit
liged
shou
als
fixed
"which,"
sure
both
urs
"said,"
pit
acc
however
Ahab
oul
mm
times
"ke,"
ttom
omen
tri
ret
show
perce
"ull,"
ull
"was,"
obser
ures
"this,"
ching
mind
bat
sec
want
would
rossing
many
fast
rew
mal
rior
mo
yse
ble
ual
were
e’s
“Queequ
shall
red
ay
fer
it.
sel
my
bou
outh
urnis
be
le
betwe
z
tav
G
ursu
de
"whales,"
Whale.
ppose
cir
nature
ang
evin
bel
ength
hite
dg
answ
tego
eci
whaling
ur
ht
chi
"“Aye,"
uli
something
you
befo
”
ils
ccording
limp
W
over
nes
"one,"
acro
pac
St
out
go
hape
wh
ves
token
pu
together
los
beat
Kn
reds
fire
re
caused
ym
unn
head
ick
ed
ripp
"ther,"
cabin
"it,"
decla
must
pi
bers
sig
eu
az
ved
mst
If
iat
clo
ung
arted
mber
copi
ith
alo
ook
preten
war
ected
ering
coast
air;
"ut,"
ole
upli
hands
"him,"
ter
"then,"
fe
history
fail
ke
alof
"ern,"
"as,"
ound
rp
ses
wor
tol
isted
asmu
ob
ape
There’s
erted
vance
Wh
PT
’t
ther
bearing
hou
Tha
bla
Pe
ach
kin
sible
part
ower
power
draw
nu
tac
sp
Le
cling
feel
aise
in.
K
When
comm
wark
rou
inside
me.
again;
thought
ceed
spect
but
or
pou
case
sir
eac
ess
formed
heth
erv
We
"up,"
at
under
lect
cent
eg
een
hoi
ars
wha
ri
belie
oa
ortal
-
"id,"
“Thou
bits
wish
eing
apta
two
isles
righ
comply
pre
ew
stripp
cer
vious
ware
sup
pti
D
enter
heat
bec
still
meric
anci
Right
annot
ange
series
vic
rst
ghted
wing
just
ecu
em;
“What’s
nded
lif
ref
ece
occ
sun
enty
set
Ca
quant
"thing,"
Con
rth
mann
ows
sail
An
tho
ships
though
whales.
wu
fou
her
said
desi
je
ol
die
what’s
ended
ay.
ople
mall
CK
ones
access
reten
OR
good
t’
ccord
iven
White
roac
bution
anywh
chase
belongs
oars
"ed,"
udes
erta
nail
“T
TH
rop
k
"stern,"
xed
wun
win
crew
ken
wo
loo
ago
pse
gree
via
iles
hase
icis
tur
ib
sc
aptain
too
"harks,"
ic
"ers,"
ro
ood
boar
mast-
nea
"boats,"
that
hich
sing
y
soc
"again,"
"ides,"
cy
ived
thing
nin
st-
um
rors
after
sho
Ar
zed
creat
ort
oun
find
upon
mpan
came
lands
"ing,"
h?
pecu
"So,"
irtu
iew
onic
g™
takes
"well,"
le.
rest
xion
obed
nor
oth
pl
oni
end
Mob
"night,"
cre
taking
"when,"
“Th
arp
erence
strike
ave
cked
uee
roper
ny
whale;
city
eath
deck
getting
Pr
"sea,"
lim
ought
Ma
till
conclu
bes
log
dro
eng
hot
ceit
“What
pictures
eneath
ster
aid
now
knes
this
heard
next
Picture
But
illed
ghts
King
am
iod
e-
"too,"
boo
thru
hale;
Head
e;
Starbu
"ain,"
three
weight
old
und
(_
ies
king
-hea
capable
By
perta
ms
ks
form
man
bew
goo
alon
then
oing
e
isle
anded
in;
ctron
ould
onn
ining
touch
pair
o_)
aised
called
teg
whom
them
secu
from
ces
suc
"l,"
possi
plenty
aits
appar
"itself,"
pture
llage
"or,"
wou
cri
"t,"
iron
sha
appro
strick
since
each
vered
thout
dan
av
why
rels
aced
nex
bones
object
bone
pose
gt
stan
thee
"ow,"
br
To
dead
"yage,"
tre
s.
core
"me,"
picked
looking
elect
ris
ing
sorts
"Well,"
forehead
they
ince
very
pies
"self,"
bod
low
OF
alli
Aha
had
ittle
No
chanced
ity
great
ished
tain
"bulk,"
being
along
der
cold
sound
non
have
sal
Mr
"a,"
m
rl
him;
ain
ions
consid
ll
tle
BO
gin
’ll
side;
mbo
uo
atc
abo
through
ser
la
stance
"her,"
berg™
even
high
"ship,"
ge
aigh
tub
—C
will
yin
ar
face
ged
spec
ple
island
nexion
H
"hands,"
twent
instea
dged
harpoone
Thou
harpoons
sed
forty
reso
"nds,"
compa
across
pretend
eral
order
"et,"
ton
bear
pli
“Q
early
ie
yr
les
Fo
ery
Tas
uck
lege
talk
ption
icin
qual
saying
"ant,"
Thin
pect
eer
(_F
bit
world
gag
enb
raw
wer
"b,"
tim
running
jaws
yes
urn
gi
row
"about,"
ki
vicis
Hu
desire
refer
le’s
Stat
than
aga
gns
NA
mes
ske
ye
"ad,"
eri
arg
ink
feet
om
Sp
ped
With
"ver,"
v
aight
jack
ea
xt
What
bow
fe-
oung
tect
iter
gli
oublo
sai
landed
"r,"
time
buoy
arkness
vin
ates
ailing
uan
Gu
arb
buck
peril
oked
company
ket
ir
ide
noth
engag
ine
hab
pped
N
asse
uit
sable
ared
lev
lord
ispen
suppose
sab
d
owed
leaving
Queequ
"ent,"
eril
jec
on’
ilar
ei
lm
"ere,"
do
islands
cin
run
urther
strai
stow
ire
tto
dist
col
st-heads
ndred
id
atten
edi
"ass,"
lood
"who,"
dis
ured
gan
nited
ning
Whale;
Ne
"ho,"
app
incl
"fe,"
forc
I
ictu
At
worse
spout
len
jaw
Wo
his
serted
bb
whether
view
full
ount
sent
nt
fill
owly
arge
CH
any
nev
oin
think
fur
oot
"harpoons,"
"oft,"
cen
inced
su
lifted
lt
hor
en
take
filled
ishe
You
ceiv
ictures
spr
Did
gave
sson
water
sto
whalemen
prote
rehead
turn
berg
rk
forth
fro
sense
Pic
hist
rep
gether
turning
back
mon
here
himself
sym
aning
Gre
od
ounded
able
proac
ci
ceived
poons
cap
"eet,"
sat
hey
Her
new
arsee
himse
rin
sign
Q
riv
"ee,"
spit
me;
ver
mer
ror
pos
ell
gett
Stand
"light,"
sei
vie
ng
he
Cape
ose
gen
hat
tered
itt
spou
TE
rece
erg
owing
te
yed
terv
"here,"
pro
Qu
sper
self
tec
ein
II
stor
anc
boat
nothing
mil
wake
if
dle
lo
rac
ced
hte
roll
cor
mass
ean
bj
does
susp
whal
urpose
asted
went
fr
se
ying
hav
none
al
"ch,"
wan
chan
perils
motion
"th,"
He
Whe
bergris
amp
ssing
Map
ackness
ag
n
nat
beli
ends
op
story
arbuck
wont
book
rg
who
cha
cord
terror
"water,"
"e,"
onor
pto
era
"en,"
acket
sev
"acket,"
turns
yri
bea
sur
anno
stri
ween
seems
lines
ty
ens
gone
armed
bet
dea
posed
cro
hes
fort
"now,"
dv
erin
sen
belong
"turned,"
Nan
"though,"
it’s
Whale’s
es
(_O
fear
"od,"
"Oh,"
rip
ame
rf
vel
seat
ontr
du
hy
chance
ent
.
mean
int
pacing
use
lved
gro
enland
Fro
nl
dd
consider
"side,"
Was
erning
esi
saw
rows
eyes
not;
making
cl
"deed,"
deck;
tavo
aged
front
ef
here’s
been
proper
w
sib
wife
inity
eat
Now
las
lit
assa
rpo
icer
ain.
known
cr
"more,"
tog
try
tai
blo
uis
espec
num
warp
cab
thin
ating
idd
mention
brou
ina
wen
cing
captain
them;
hole
It
ja
ongs
ion
The
striving
Let
au
string
nec
pursu
mouth
hom
Go
q
work
midst
oes
uplif
tuck
him
ient
sid
loons
myself
rt
voy
erar
ered
wonder
by
Th
ig
antity
how
ship’s
fo
light
says
ican
ted
atch
its
lade
amid
led
instances
par
shor
vor
at;
ug
stro
unning
seen
ite
beho
one
_)
esides
apple
agree
ex
edg
ra
reat
p;
fl
onged
urth
alm
"ay,"
fix
cured
purpose
sand
Fish
lf
earth
unknown
yea
exa
(
way
ju
almo
lem
r;
lk
kill
ik
sides
bac
T
Pequod
placed
spite
pea
uring
dost
lied
ia
ation
fa
af
And
which
bove
n’
llowed
ppli
their
ant
"open,"
ss
ackn
p
mpo
ymp
sought
agre
hit
much
peri
down
While
kele
HE
urr
OK
earing
aws
iti
arkn
made
sl
This
hip
ude
pec
lig
™
table
i
moment
vill
ronic
ants
ever
ory
og
further
oli
orl
ett
Ta
say
Acc
rel
signs
)
parit
ini
whe
Mo
"s,"
obs
strip
act
contact
ins
lef
antit
standing
ers
deg
bo
urns
enl
leng
urgh
hiv
side
mag
vicin
eded
ts
shape
beca
howe
beh
ative
began
lik
mate
unless
the
"time,"
Oc
tubb
forced
irst
"last,"
arm
read
rote
rea
ors
eequ
llag
leton
arbu
oking
voi
comp
that’s
year
mast
hard
Di
left
indl
Wi
dow
t;
pplied
ch
ats
gazing
sted
begin
thus
queg
"bin,"
wat
mu
sle
ow
manded
shar
once
cour
Ac
ail
Wa
ldom
lace
lar
ache
mak
coming
tal
oor
tok
"n,"
"f,"
ce
in
ordan
bun
stribu
ga
rr
buti
lor
Li
revi
esid
body
wak
fu
ner
impo
ns
ere
un
ior
may
"Nor,"
told
nced
seld
belonged
cend
dam
ledge
P
ason
land
twenty
"oil,"
won
acing
"mate,"
“I
cannot
ap
"ll,"
Besides
eds
One
surround
mill
behold
str
reen
serve
Whale
ros
man;
Why
ady
gher
stoo
isp
"seas,"
Do
kep
er
within
again.
onging
bulk
wei
ev
ron
"p,"
loose
nds
Star
kelet
surfa
rom
while
rgh
pri
loss
spo
cit
*
"gh,"
mom
arded
tail
"ks,"
que
urned
hin
point
bul
"ack,"
eriv
ally
fair
rn
state
lower
bs
nse
cla
bu
",”"
lance
heads
meth
stanc
ash
umber
ater
Ah
ono
aned
"ate,"
wi
What’s
hark
eed
SA
liar
"stant,"
ath
co
symp
Stubb
oat
oj
"deck,"
alk
"an,"
"age,"
san
"re,"
whi
Kni
"arbuck,"
terr
gn
ctu
"so,"
perm
prep
sey
hum
previ
hon
chie
tures
woe
ey
thr
gar
plent
command
hed
your
coa
Woe
trying
same
oar
so;
tand
ul
leg
erha
we
urning
"men,"
at’s
tue
spend
life-
ruising
Me
ade
"lf,"
toge
tend
eq
long
eh
taken
pan
emp
peo
"leg,"
"cket,"
gain
"ever,"
sw
lose
"ck,"
cious
ship;
ciat
"ons,"
clude
ls
things
mand
Bu
hai
no
iz
ost
bef
mort
"w,"
enber
"nd,"
les.
po
orn
ind
chive
na
eve
cu
young
tou
hold
iled
tat
at’
nit
"arm,"
m.
ance
ght
moti
lio
aving
hale.
oby
prepa
menti
ad
on
bergr
tly
consci
ition
lon
ek
"bb,"
nd
yet
dif
ien
_
kes
From
deed
ensa
ys
Of
<unk>
""
